"","V1","V2","V3","V4","V5"
"264",40102,3,21.8272037341921,3,32.2876858015571
"265",40103,1,-164.213550756575,1,-163.975226131536
"266",40104,3,-181.828595152017,3,-181.510828985298
"267",40105,2,-134.519029409136,2,-135.351991532223
"268",40106,4,-112.088915840653,4,-114.041726278482
"269",40107,4,-156.999807117764,4,-158.952617555593
"270",40108,1,-410.580424000571,1,-404.151019821397
"271",40109,4,-507.004242205348,1,-499.806125566421
"272",40110,2,-544.45997776242,1,-536.250667078185
"273",40111,4,-74.5111382111931,4,-75.5523408650529
"274",40112,2,-8.85090132181783,2,-10.4131496720814
"275",351,4,-11.29213945588,4,-6.06952726726286
"276",814,3,-130.920158352167,3,-130.131260042823
"277",71,1,-91.6087135575175,1,-92.2334351498333
"278",445,3,-85.2928394213938,3,-87.7476619769142
"279",3,1,-78.2956964992079,1,-80.1368134158482
"280",2,3,-102.416804221818,3,-104.871626777338
"281",450,4,-135.51409915469,4,-136.55530180855
"282",140,3,-32.5641666734528,3,-33.3971287965406
"283",79,3,-179.970428394675,3,-178.760088022699
"284",713,1,-536.534097423077,1,-532.232135809621
"285",708,4,-99.949266786428,4,-101.902077224257
"286",920,2,-13.8406229938372,2,-14.673585116925
"287",721,4,-147.227633730557,4,-148.268836384416
"288",687,2,-1135.40552374974,2,-1127.02814550085
"289",691,3,-1067.23395531181,3,-1058.85657706292
"290",6,1,-528.011761559858,1,-523.614553851459
"291",695,4,-78.2441566070217,4,-80.1969670448512
"292",40114,4,-90.8184338094306,4,-92.7712442472601
"293",40115,2,-22.5958241261648,2,-23.4287862492526
"294",40116,2,-17.8492284521005,2,-18.6821905751883
"295",40117,1,-13.0921784701849,1,-13.7169000625007
"296",40118,1,-25.9555129175041,1,-26.5802345098199
"297",40119,1,-21.9430395491892,1,-22.5677611415051
"298",40120,4,-21.8983461359273,4,-22.939548789787
"299",40121,4,-51.7659203585337,4,-52.8071230123934
"300",40122,3,-566.03543633384,3,-560.430646807191
"301",40123,2,-69.1493654198651,2,-69.9823275429529
"302",40124,1,-63.9061352397587,1,-64.5308568320746
"303",40125,3,-435.6323730988,3,-431.454283347907
"304",40126,4,-415.122566960569,4,-409.899954771952
"305",40127,1,-306.197444452232,1,-303.879678285513
"306",40128,3,-16.2742225485281,3,-16.4905819523068
"307",40129,1,-8.17757774983997,1,-7.93925312480047
"308",40130,2,-36.6018754645175,2,-38.1641238147811
